s x_s y_s F_val G_val
4.63 1.4177 0.503392 1.60868 -nan
4.64 1.42767 0.502619 1.60494 -nan
4.65 1.43765 0.501946 1.6009 -nan
4.66 1.44763 0.501372 1.59656 -nan
4.67 1.45762 0.500898 1.59193 -nan
4.68 1.46762 0.500524 1.58699 -nan
4.69 1.47761 0.500251 1.58175 -nan
4.7 1.48761 0.500077 1.57621 -nan
4.71 1.49761 0.500003 1.57037 -nan
4.72 1.50761 0.500029 1.56422 -nan
4.73 1.51761 0.500155 1.55777 -nan
4.74 1.52761 0.500381 1.55102 -nan
4.75 1.5376 0.500707 1.54397 -nan
4.76 1.54759 0.501133 1.53663 -nan
4.77 1.55758 0.501659 1.52899 -nan
4.78 1.56756 0.502285 1.52106 -nan
4.79 1.57753 0.50301 1.51284 -nan
4.8 1.5875 0.503835 1.50434 -nan
4.81 1.59746 0.50476 1.49555 -nan
4.82 1.6074 0.505784 1.4865 -nan
4.83 1.61734 0.506908 1.47717 -nan
4.84 1.62726 0.508131 1.46759 -nan
4.85 1.63718 0.509453 1.45774 -nan
4.86 1.64708 0.510875 1.44764 -nan
4.87 1.65696 0.512395 1.4373 -nan
4.88 1.66683 0.514014 1.42673 -nan
4.89 1.67668 0.515731 1.41592 -nan
4.9 1.68651 0.517547 1.40489 -nan
4.91 1.69633 0.519462 1.39364 -nan
4.92 1.70612 0.521474 1.38219 -nan
4.93 1.7159 0.523584 1.37054 -nan
4.94 1.72565 0.525792 1.3587 -nan
4.95 1.73538 0.528097 1.34669 -nan
4.96 1.74509 0.530499 1.33449 -nan
4.97 1.75477 0.532999 1.32214 -nan
4.98 1.76443 0.535595 1.30963 -nan
4.99 1.77406 0.538287 1.29698 -nan
5 1.78366 0.541076 1.28419 -nan
5.01 1.79324 0.54396 1.27127 -nan
5.02 1.80278 0.54694 1.25824 -nan
5.03 1.8123 0.550016 1.2451 -nan
5.04 1.82178 0.553186 1.23186 -nan
5.05 1.83123 0.556451 1.21853 -nan
5.06 1.84065 0.559811 1.20512 -nan
5.07 1.85004 0.563264 1.19164 -nan
5.08 1.85939 0.566811 1.1781 -nan
5.09 1.8687 0.570452 1.1645 -nan
5.1 1.87798 0.574185 1.15086 -nan
5.11 1.88722 0.578011 1.13719 -nan
5.12 1.89642 0.58193 1.12349 -nan
5.13 1.90558 0.58594 1.10976 -nan
5.14 1.9147 0.590041 1.09603 -nan
5.15 1.92378 0.594233 1.08229 -nan
5.16 1.93281 0.598516 1.06856 -nan
5.17 1.94181 0.602889 1.05485 -nan
5.18 1.95076 0.607352 1.04115 -nan
5.19 1.95966 0.611904 1.02748 -nan
5.2 1.96852 0.616545 1.01384 -nan
5.21 1.97733 0.621275 1.00025 -nan
5.22 1.98609 0.626092 0.986701 -nan
5.23 1.99481 0.630996 0.973208 -nan
5.24 2.00347 0.635988 0.959775 -nan
5.25 2.01209 0.641066 0.946408 -nan
5.26 2.02065 0.646229 0.933112 -nan
5.27 2.02916 0.651478 0.919893 -nan
5.28 2.03762 0.656812 0.906756 -nan
5.29 2.04602 0.662231 0.893706 -nan
5.3 2.05437 0.667733 0.880748 -nan
5.31 2.06267 0.673318 0.867886 -nan
5.32 2.07091 0.678986 0.855123 -nan
5.33 2.07909 0.684736 0.842465 -nan
5.34 2.08721 0.690567 0.829915 -nan
5.35 2.09528 0.69648 0.817476 -nan
5.36 2.10328 0.702473 0.805152 -nan
5.37 2.11123 0.708545 0.792946 -nan
5.38 2.11911 0.714697 0.780861 -nan
5.39 2.12693 0.720927 0.768898 -nan
5.4 2.13469 0.727236 0.757062 -nan
5.41 2.14239 0.733621 0.745353 -nan
5.42 2.15002 0.740083 0.733775 -nan
5.43 2.15759 0.746621 0.722329 -nan
5.44 2.16509 0.753235 0.711016 -nan
5.45 2.17252 0.759923 0.699839 -nan
5.46 2.17989 0.766685 0.688798 -nan
5.47 2.18719 0.77352 0.677895 -nan
5.48 2.19442 0.780428 0.66713 -nan
5.49 2.20158 0.787408 0.656506 -nan
5.5 2.20867 0.79446 0.646021 -nan
5.51 2.21569 0.801582 0.635678 -nan
5.52 2.22264 0.808773 0.625476 -nan
5.53 2.22951 0.816034 0.615416 -nan
5.54 2.23632 0.823363 0.605498 -nan
5.55 2.24305 0.83076 0.595722 -nan
5.56 2.2497 0.838224 0.586088 -nan
5.57 2.25628 0.845754 0.576595 -nan
5.58 2.26279 0.853349 0.567245 -nan
5.59 2.26921 0.861009 0.558035 -nan
5.6 2.27557 0.868733 0.548967 -nan
5.61 2.28184 0.87652 0.540038 -nan
5.62 2.28804 0.88437 0.53125 -nan
5.63 2.29415 0.892281 0.5226 -nan
5.64 2.30019 0.900253 0.514089 -nan
5.65 2.30615 0.908284 0.505714 -nan
5.66 2.31202 0.916375 0.497477 -nan
5.67 2.31782 0.924525 0.489374 -nan
5.68 2.32353 0.932731 0.481407 -nan
5.69 2.32916 0.940995 0.473572 -nan
5.7 2.33471 0.949314 0.46587 -nan
5.71 2.34018 0.957689 0.458299 -nan
5.72 2.34556 0.966118 0.450858 -nan
5.73 2.35086 0.9746 0.443545 -nan
5.74 2.35607 0.983135 0.43636 -nan
5.75 2.36119 0.991721 0.4293 -nan
5.76 2.36623 1.00036 0.422365 0.421772
5.77 2.37119 1.00905 0.415554 0.415005
5.78 2.37605 1.01778 0.408864 0.408356
5.79 2.38083 1.02657 0.402295 0.401825
5.8 2.38552 1.0354 0.395844 0.39541
